source,source_course_id,source_course_name,canonical_course_id,canonical_course_name,match_method,confidence,review_status,notes
cbs_sports,Trump National Doral (Blue Monster Course),Trump National Doral (Blue Monster Course),course_eb9197e2ae8a,"Trump National Doral Golf Course - Doral, FL",manual_venue_location_review,medium,accepted,"Reviewed Blue Monster as the tournament course at Trump National Doral in Doral, FL."
cbs_sports,TPC Louisiana,TPC Louisiana,course_a9346c56f26d,"TPC Louisiana - Avondale, LA",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Harbour Town Golf Links,Harbour Town Golf Links,course_b3b6f70ed395,"Harbour Town Golf Links - Hilton Head Island, SC",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Augusta National Golf Club,Augusta National Golf Club,course_ed3b768f02c8,"Augusta National Golf Club - Augusta, GA",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Oaks Course,Oaks Course,course_f596cb8dea6d,"TPC San Antonio (Oaks Course) - San Antonio, TX",manual_venue_location_review,medium,accepted,"Generic name accepted only after review against CBS San Antonio, TX location and the historical full venue name."
cbs_sports,Memorial Park Golf Course,Memorial Park Golf Course,course_b1c25c63a6ed,"Memorial Park Golf Course - Houston, TX",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Innisbrook Resort (Copperhead),Innisbrook Resort (Copperhead),course_812a4ec45594,"Innisbrook Resort (Copperhead Course) - Palm Harbor, FL",manual_venue_location_review,high,accepted,"Reviewed course-word variant at the same Palm Harbor, FL resort."
cbs_sports,TPC Sawgrass - THE PLAYERS Stadium Course,TPC Sawgrass - THE PLAYERS Stadium Course,course_a4acfae1373e,"TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Grand Reserve Country Club,Grand Reserve Country Club,course_90e0023cb323,"Grand Reserve Country Club - Rio Grande, Puerto Rico",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Arnold Palmer&#039;s Bay Hill Club &amp; Lodge,Arnold Palmer&#039;s Bay Hill Club &amp; Lodge,course_3cbc3019f3ac,"Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal after HTML entity decoding.
cbs_sports,Champion Course,Champion Course,course_5f1a6838ed4a,"PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL",manual_venue_location_review,medium,accepted,"Generic name accepted only after review against CBS Palm Beach Gardens, FL location and PGA National venue history."
cbs_sports,Riviera Country Club,Riviera Country Club,course_1c094a6a2f0e,"Riviera Country Club - Pacific Palisades, CA",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Pebble Beach Golf Links,Pebble Beach Golf Links,course_21e53240e6b1,"Pebble Beach Golf Links - Pebble Beach, CA",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,TPC Scottsdale - Stadium Course,TPC Scottsdale - Stadium Course,course_591389619c0d,"TPC Scottsdale (Stadium Course) - Scottsdale, AZ",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Torrey Pines Golf Club (South),Torrey Pines Golf Club (South),course_4bf2e21a0b54,"Torrey Pines (South Course) - La Jolla, CA",manual_venue_location_review,high,accepted,"Reviewed naming variant against the same South Course and La Jolla, CA location."
cbs_sports,Pete Dye Stadium Course PGA West,Pete Dye Stadium Course PGA West,,,unresolved,,review_required,No equivalent historical source course identity was found; intentionally left unmapped.
cbs_sports,Waialae Country Club,Waialae Country Club,course_1ad2bf5b0889,"Waialae Country Club - Honolulu, HI",exact_normalized_name,high,accepted,Accepted unique normalized-name proposal.
cbs_sports,Plantation Course at Kapalua,Plantation Course at Kapalua,course_b02da7dede4f,"Kapalua Resort (Plantation Course) - Kapalua, HI",manual_venue_location_review,high,accepted,"Reviewed naming-order variant against the same Kapalua, HI resort and Plantation Course."
espn_kaggle,"Grand Reserve Golf Club - Rio Grande, Puerto Rico","Grand Reserve Golf Club - Rio Grande, Puerto Rico",course_90e0023cb323,"Grand Reserve Country Club - Rio Grande, Puerto Rico",manual_same_venue_consolidation,high,accepted,"Consolidates historical Golf Club/Country Club source-name drift at the same Rio Grande venue."
espn_kaggle,"PGA National Resort (The Champion Course) - Palm Beach Gardens, FL","PGA National Resort (The Champion Course) - Palm Beach Gardens, FL",course_5f1a6838ed4a,"PGA National Resort & Spa (The Champion) - Palm Beach Gardens, FL",manual_same_venue_consolidation,high,accepted,"Consolidates historical PGA National Champion-course source-name drift at the same location."
